MARKET,TF,MEAN,BREAKOUT,RTM,RTM_PERCENT,BO_PERCENT,EXIT_PERCENT,STOP_PERC,sharpe_ratio
BTC-ETC,5,8,True,True,2.0,1.0,5.0,15.0,0.186058137701
BTC-QTUM,5,20,True,True,5.0,1.0,10.0,15.0,0.216753743459
BTC-BAT,5,20,True,True,3.0,1.0,10.0,15.0,0.250348966541
BTC-XRP,5,20,True,True,2.0,1.0,1.0,10.0,0.489493228434
BTC-ETH,5,20,True,True,3.0,1.0,10.0,15.0,0.120276612566
BTC-PAY,5,8,True,True,5.0,1.0,10.0,5.0,-0.00628485894738
BTC-ETC,5,20,True,True,2.0,1.0,10.0,15.0,0.174587261847
BTC-STRAT,5,8,True,True,3.0,1.0,10.0,10.0,0.0438637613706
BTC-XRP,5,8,True,True,3.0,1.0,10.0,15.0,0.134102422479
BTC-LTC,5,20,True,True,5.0,1.0,5.0,5.0,0.1617752939
BTC-TRIG,5,20,True,True,5.0,1.0,1.0,5.0,0.0885728760535
BTC-OMG,5,20,True,True,2.0,1.0,5.0,15.0,0.434764883497
BTC-NAV,5,20,True,True,5.0,1.0,10.0,5.0,0.72603704449
BTC-DASH,5,20,True,True,3.0,1.0,5.0,5.0,0.368194692181
BTC-BCC,5,8,True,True,2.0,1.0,1.0,5.0,0.141968137425
BTC-ETH,5,8,True,True,5.0,1.0,1.0,10.0,-0.172390439997
BTC-BAT,5,8,True,True,3.0,1.0,5.0,10.0,0.206131465469
BTC-BCC,5,20,True,True,3.0,1.0,1.0,15.0,0.323166511262
BTC-OMG,5,8,True,True,5.0,1.0,10.0,10.0,0.136370063267
BTC-MCO,5,20,True,True,2.0,1.0,1.0,5.0,0.596542041519
BTC-STRAT,5,8,True,True,5.0,1.0,10.0,5.0,0.091392646877
BTC-STRAT,5,20,True,True,2.0,1.0,10.0,5.0,0.244081356088
BTC-BAT,5,8,True,True,3.0,1.0,1.0,15.0,-0.138191264907
BTC-OMG,5,8,True,True,5.0,1.0,1.0,5.0,-0.249060978728
BTC-ETH,5,20,True,True,2.0,1.0,5.0,5.0,0.161380300897
BTC-PAY,5,8,True,True,5.0,1.0,10.0,15.0,-0.0232985094389
BTC-NAV,5,8,True,True,5.0,1.0,1.0,10.0,-0.212609317667
BTC-LSK,5,20,True,True,3.0,1.0,10.0,10.0,0.473217909441
BTC-ADX,5,20,True,True,2.0,1.0,1.0,15.0,0.33183999887
BTC-STRAT,5,20,True,True,5.0,1.0,10.0,10.0,0.15751926292
BTC-STRAT,5,20,True,True,3.0,1.0,1.0,5.0,0.12073115904
BTC-ETC,5,20,True,True,3.0,1.0,1.0,5.0,0.197194963465
BTC-DASH,5,8,True,True,2.0,1.0,1.0,10.0,-0.0316188155337
BTC-XVG,5,20,True,True,2.0,1.0,10.0,10.0,0.428885658724
BTC-RISE,5,8,True,True,3.0,1.0,10.0,5.0,0.615051953576
BTC-QTUM,5,8,True,True,5.0,1.0,10.0,10.0,0.0544819463789
BTC-RISE,5,8,True,True,3.0,1.0,5.0,5.0,0.74341610584
BTC-ETH,5,20,True,True,2.0,1.0,10.0,5.0,0.0714323056898
BTC-LTC,5,8,True,True,5.0,1.0,1.0,5.0,-0.352136982119
BTC-BCC,5,20,True,True,5.0,1.0,1.0,5.0,0.242448281933
BTC-LTC,5,20,True,True,5.0,1.0,5.0,15.0,0.186351489513
BTC-XMR,5,8,True,True,2.0,1.0,5.0,5.0,0.421954149411
BTC-NEO,5,20,True,True,5.0,1.0,1.0,10.0,-0.034244892299
BTC-NAV,5,8,True,True,2.0,1.0,10.0,5.0,0.590021080483
BTC-NAV,5,20,True,True,2.0,1.0,10.0,15.0,0.694493129169
BTC-APX,5,8,True,True,5.0,1.0,5.0,10.0,0.290245470529
BTC-DASH,5,20,True,True,5.0,1.0,5.0,15.0,0.276628203491
BTC-RISE,5,8,True,True,5.0,1.0,1.0,10.0,-0.196417266844
BTC-OMG,5,20,True,True,2.0,1.0,5.0,5.0,0.591106228138
BTC-LTC,5,20,True,True,5.0,1.0,1.0,5.0,-0.107366309075
BTC-RISE,5,20,True,True,3.0,1.0,1.0,5.0,0.467954377341
BTC-NEO,5,8,True,True,5.0,1.0,5.0,10.0,0.00955204133583
BTC-APX,5,8,True,True,2.0,1.0,1.0,15.0,0.096521276254
